round,strategy,true_count,bet,wagered,result,bankroll
1,BASIC,0.0,10,10,-10,990
1,COUNT,0.0,10,10,-10,990
1,DEALER,0.0,10,10,15,1015
2,BASIC,-0.172,10,10,-5,985
2,COUNT,-0.172,10,10,-10,980
2,DEALER,-0.172,10,10,-10,1005
3,BASIC,0.179,10,20,-20,965
3,COUNT,0.179,10,10,-10,970
3,DEALER,0.179,10,10,10,1015
4,BASIC,1.118,10,10,10,975
4,COUNT,1.118,10,10,-10,960
4,DEALER,1.118,10,10,-10,1005
5,BASIC,0.582,10,10,10,985
5,COUNT,0.582,10,10,10,970
5,DEALER,0.582,10,10,-10,995
6,BASIC,0.403,10,10,10,995
6,COUNT,0.403,10,20,20,990
6,DEALER,0.403,10,10,-10,985
7,BASIC,1.492,10,10,10,1005
7,COUNT,1.492,10,10,0,990
7,DEALER,1.492,10,10,-10,975
8,BASIC,1.785,10,10,10,1015
8,COUNT,1.785,20,20,-20,970
8,DEALER,1.785,10,10,10,985
9,BASIC,3.324,10,10,10,1025
9,COUNT,3.324,30,30,30,1000
9,DEALER,3.324,10,10,10,995
10,BASIC,4.544,10,10,-10,1015
10,COUNT,4.544,50,50,-50,950
10,DEALER,4.544,10,10,-10,985
11,BASIC,4.202,10,10,-10,1005
11,COUNT,4.202,40,40,-40,910
11,DEALER,4.202,10,10,-10,975
12,BASIC,5.312,10,10,-10,995
12,COUNT,5.312,50,50,75,985
12,DEALER,5.312,10,10,-10,965
13,BASIC,5.051,10,10,-5,990
13,COUNT,5.051,50,50,-50,935
13,DEALER,5.051,10,10,10,975
14,BASIC,5.012,10,10,-10,980
14,COUNT,5.012,50,50,75,1010
14,DEALER,5.012,10,10,-10,965
15,BASIC,3.667,10,10,-10,970
15,COUNT,3.667,40,40,0,1010
15,DEALER,3.667,10,10,-10,955
16,BASIC,1.769,10,20,20,990
16,COUNT,1.769,20,20,20,1030
16,DEALER,1.769,10,10,10,965
17,BASIC,1.156,10,10,-10,980
17,COUNT,1.156,10,10,-10,1020
17,DEALER,1.156,10,10,10,975
18,BASIC,1.677,10,20,20,1000
18,COUNT,1.677,20,20,-20,1000
18,DEALER,1.677,10,10,-10,965
19,BASIC,1.825,10,20,-20,980
19,COUNT,1.825,20,20,-20,980
19,DEALER,1.825,10,10,-10,955
20,BASIC,2.5,10,10,10,990
20,COUNT,2.5,20,20,20,1000
20,DEALER,2.5,10,10,10,965
21,BASIC,2.857,10,10,10,1000
21,COUNT,2.857,30,30,30,1030
21,DEALER,2.857,10,10,15,980
22,BASIC,1.268,10,10,-10,990
22,COUNT,1.268,10,10,-10,1020
22,DEALER,1.268,10,10,-10,970
23,BASIC,0.0,10,10,-10,980
23,COUNT,0.0,10,10,-10,1010
23,DEALER,0.0,10,10,-10,960
24,BASIC,0.518,10,10,10,990
24,COUNT,0.518,10,30,30,1040
24,DEALER,0.518,10,10,10,970
25,BASIC,0.361,10,10,-10,980
25,COUNT,0.361,10,10,-10,1030
25,DEALER,0.361,10,10,-10,960
26,BASIC,0.557,10,10,-10,970
26,COUNT,0.557,10,10,-10,1020
26,DEALER,0.557,10,10,-10,950
27,BASIC,0.963,10,10,-5,965
27,COUNT,0.963,10,10,0,1020
27,DEALER,0.963,10,10,-10,940
28,BASIC,0.398,10,10,15,980
28,COUNT,0.398,10,10,-10,1010
28,DEALER,0.398,10,10,-10,930
29,BASIC,0.0,10,10,-5,975
29,COUNT,0.0,10,10,-10,1000
29,DEALER,0.0,10,10,-10,920
30,BASIC,0.435,10,10,-10,965
